name,family,n_rows,n_cols,n_vertices,n_edges,n_faces,euler_check,handshake_check,invariants_ok,n_faces_3,n_faces_4,n_faces_5,n_faces_6,n_faces_7,n_faces_8,n_faces_9,n_faces_10,n_faces_11,n_faces_12,n_faces_ge13,mean_face_size,std_face_size,n_distinct_face_sizes,mean_edge_length,std_edge_length,min_edge_length,max_edge_length,n_reentrant_angles,n_reentrant_vertices,frac_reentrant_vertices,mean_vertex_min_angle,mean_vertex_max_angle,cell_area,edge_density,K_beam,G_beam,K_over_G_beam,nu_anisotropy_beam,fam_token_3,fam_token_4,fam_token_5,fam_token_6,fam_token_7,fam_token_8,fam_token_9,fam_token_10,fam_token_11,fam_token_12,nu_min_spring,nu_max_spring,spring_classification,nu_min_beam,nu_max_beam,beam_classification,is_homogeneous_auxetic,is_directional_auxetic
4x4_70,3_4_5_6_7,4,4,11,22,11,0,0,1,6,2,1,1,1,0,0,0,0,0,0,4.0,1.348399724926484,5,0.3009691065254383,0.07751455352505401,0.25,0.5,0,0,0.0,1.0709974955419748,2.2847946571562128,15.999999999999998,1.3750000000000002,0.18104385367143688,0.07160236458253064,2.5284619401467014,0.8134922957448898,1,1,1,1,1,0,0,0,0,0,0.1871111743187761,0.9659074159250061,non_auxetic,0.16135136774412626,0.9748436634890161,non_auxetic,0,0
4x4_100,3_4_5_6_7,4,4,11,22,11,0,0,1,6,2,1,1,1,0,0,0,0,0,0,4.0,1.348399724926484,5,0.3009691065254383,0.07751455352505403,0.25,0.5,0,0,0.0,1.0709974955419748,2.284794657156213,15.999999999999998,1.3750000000000002,0.25709625987157564,0.13246237628750462,1.9409002546772816,0.997498103201248,1,1,1,1,1,0,0,0,0,0,0.004091035963511559,1.0025349538321022,non_auxetic,0.004011806257783891,1.0015099094590318,non_auxetic,0,0
4x4_156,3_4_5_6_7,4,4,12,24,12,0,0,1,6,3,1,1,1,0,0,0,0,0,0,4.0,1.2909944487358056,5,0.2845177968644246,0.04881553646890875,0.25,0.3535533905932738,0,0,0.0,1.0471975511965976,2.22529479629277,15.999999999999998,1.5000000000000002,0.14500525276665577,0.07724369510313214,1.8772438653155004,0.9830897576759119,1,1,1,1,1,0,0,0,0,0,0.05440411585805666,1.0047916603709954,non_auxetic,0.02611202069435016,1.009201778370262,non_auxetic,0,0
3x3_50,3_4_8,3,3,7,14,7,0,0,1,4,2,0,0,0,1,0,0,0,0,0,4.0,1.6903085094570331,3,0.3826444717110827,0.06615783447632784,0.3333333333333333,0.4714045207910317,1,1,0.14285714285714285,0.7853981633974483,2.692793703076965,9.000000000000002,1.5555555555555554,0.0985506804298724,0.10563215734259622,0.9329609742821355,0.4274136614742031,1,1,0,0,0,1,0,0,0,0,-0.045533025928656996,0.12548361284958948,directionally_auxetic,-0.39697359378171976,0.03044006769248334,directionally_auxetic,0,1
3x3_62,3_4_8,3,3,7,14,7,0,0,1,4,2,0,0,0,1,0,0,0,0,0,4.0,1.6903085094570331,3,0.43026351933013024,0.11526492244542115,0.3333333333333333,0.6666666666666667,2,2,0.2857142857142857,0.8975979010256552,2.6927937030769655,9.000000000000002,1.5555555555555554,0.09669517634579053,0.09004404208068457,1.07386534535118,2.1627382508027226,1,1,0,0,0,1,0,0,0,0,-0.540304310023998,1.250039194200495,directionally_auxetic,-0.7491094500578726,1.41362880074485,directionally_auxetic,0,1
3x3_79,3_4_8,3,3,7,14,7,0,0,1,4,2,0,0,0,1,0,0,0,0,0,4.0,1.6903085094570331,3,0.41631622319615635,0.09602335571813035,0.3333333333333333,0.6666666666666666,1,1,0.14285714285714285,0.7853981633974483,2.804993440705172,9.000000000000002,1.5555555555555554,0.09512787093182291,0.08698847894838728,1.0935686206016426,0.6235646924241114,1,1,0,0,0,1,0,0,0,0,-0.08589715733734904,0.5245080032017063,directionally_auxetic,-0.2631032789175138,0.36046141350659755,directionally_auxetic,0,1
3x3_120,3_4_8,3,3,7,14,7,0,0,1,4,2,0,0,0,1,0,0,0,0,0,4.0,1.6903085094570331,3,0.362920016359983,0.05665418471661743,0.3333333333333333,0.4714045207910317,0,0,0.0,1.009797638653862,2.3561944901923444,9.000000000000002,1.5555555555555554,0.2900752077110579,0.17332146382043961,1.6736254201705492,1.171958116083357,1,1,0,0,0,1,0,0,0,0,-0.05763922042008056,1.1061111211905692,directionally_auxetic,-0.06064345476521429,1.1113146613181426,directionally_auxetic,0,1
3x3_124,3_4_8,3,3,7,14,7,0,0,1,4,2,0,0,0,1,0,0,0,0,0,4.0,1.6903085094570331,3,0.3965917678450566,0.0968588475266939,0.3333333333333333,0.6666666666666666,1,1,0.14285714285714285,0.8975979010256552,2.580593965448758,9.000000000000002,1.5555555555555554,0.17659557619298627,0.13063193073186985,1.3518561289234838,0.9422369819059686,1,1,0,0,0,1,0,0,0,0,-0.034513354611370214,0.9072631155246347,directionally_auxetic,-0.042448473421059556,0.8997885084849091,directionally_auxetic,0,1
3x3_143,3_4_8,3,3,7,14,7,0,0,1,4,2,0,0,0,1,0,0,0,0,0,4.0,1.6903085094570331,3,0.3826444717110827,0.06615783447632784,0.3333333333333333,0.4714045207910317,0,0,0.0,0.7853981633974483,2.5805939654487586,9.000000000000002,1.5555555555555554,0.2121830025105711,0.10562936591683882,2.008750129936604,3.265197002857957,1,1,0,0,0,1,0,0,0,0,-0.6118385152357075,2.3920650502380885,directionally_auxetic,-0.7194404370917309,2.545756565766226,directionally_auxetic,0,1
3x3_209,3_4_8,3,3,7,14,7,0,0,1,4,2,0,0,0,1,0,0,0,0,0,4.0,1.6903085094570331,3,0.3826444717110827,0.06615783447632784,0.3333333333333333,0.4714045207910317,0,0,0.0,0.7853981633974483,2.804993440705172,9.000000000000002,1.5555555555555554,0.1692536992695318,0.0855043187822864,1.9794754426439034,3.5888173511520387,1,1,0,0,0,1,0,0,0,0,-0.6285978302430295,2.429400051456101,directionally_auxetic,-0.8816818854671402,2.7071354656848983,directionally_auxetic,0,1
